term,mean_active,mean_zero,delta
revenue generated,0.006763085388440553,0.004012977972760028,0.0027501074156805246
embedded,0.004351504780162678,0.0016059674629103368,0.0027455373172523417
pediatric,0.0030462638341907026,0.00030840107149876327,0.0027378627626919393
sequencing,0.0028177524980646214,8.117561534200642e-05,0.002736576882722615
sale,0.011397396328564065,0.008661547294517414,0.002735849034046651
company focused,0.0030671319353269637,0.0003357574733040813,0.0027313744620228826
future,0.0059297012366941,0.0032115304174132036,0.0027181708192808964
drug discovery,0.0028545092116854217,0.00013945936797243478,0.002715049843712987
editing,0.002807974231840962,9.551526612041707e-05,0.0027124589657205453
base includes,0.006372956434185225,0.0036705969063401352,0.00270235952784509
ease use,0.002851467303887406,0.0001518440242277602,0.0026996232796596457
strategic partnerships,0.003990594243918062,0.0012918134166141646,0.0026987808273038977
chemicals,0.004927100369324108,0.002242286656311305,0.002684813713012803
highly engineered,0.0031636813746358035,0.0004913165475308518,0.002672364827104952
systemic,0.0027924161311597634,0.00012348930907541309,0.0026689268220843505
healthcare providers,0.004000545107378395,0.0013324845465695135,0.002668060560808881
standard,0.004948130088998221,0.002282035508804282,0.0026660945801939393
proteins,0.002973064280792572,0.00030761042312485237,0.0026654538576677198
surface,0.00370098569713438,0.0010421099836944866,0.0026588757134398937
cardiovascular,0.002812201643178105,0.00015612628524916527,0.0026560753579289395
molecules,0.0026628863653604838,7.710415023424253e-06,0.0026551759503370596
care,0.014313781854960515,0.011662797763980983,0.0026509840909795315
reduce,0.005105523187580707,0.0024620251351114776,0.0026434980524692293
respiratory,0.0028549567216485873,0.0002122701723417742,0.002642686549306813
developed,0.0052835514138513335,0.0026412172571915068,0.0026423341566598267
circuits,0.002680250071335871,4.947998644243228e-05,0.002630770084893439
focused developing,0.0027796137989426874,0.000150758409733115,0.0026288553892095724
generated,0.01048113822063852,0.00786117885043179,0.0026199593702067314
mobility,0.0035088610470885235,0.0009009559565747728,0.0026079050905137508
fluid,0.0036435958189833355,0.0010363065018981074,0.0026072893170852283
ad,0.003483316000812016,0.0008787123047130284,0.0026046036960989875
superior,0.007969158159464636,0.005366160416906893,0.0026029977425577437
vendors,0.00399504080663884,0.0013941076481131791,0.002600933158525661
eye,0.003146007469539829,0.0005462847534483868,0.0025997227160914423
workflow,0.0031813840449315045,0.0005824291078265815,0.002598954937104923
breast,0.0027038062956622325,0.00011659389581794581,0.0025872123998442868
